scen,bev_type,SSB_status,cont_type,impact_type,item,value
scen1,milk_almond,non_SSB,carton,ghg,bev,0
scen1,milk_almond,non_SSB,carton,h2o,bev,0
scen1,milk_almond,SSB,plastic,ghg,bev,0
scen1,milk_almond,SSB,plastic,h2o,bev,0
scen1,milk_almond,SSB,carton,ghg,bev,0
scen1,milk_almond,SSB,carton,h2o,bev,0
scen1,milk_an,non_SSB,plastic,ghg,bev,0
scen1,milk_an,non_SSB,plastic,h2o,bev,0
scen1,milk_an,non_SSB,carton,ghg,bev,0
scen1,milk_an,non_SSB,carton,h2o,bev,0
scen1,milk_an,SSB,plastic,ghg,bev,0
scen1,milk_an,SSB,plastic,h2o,bev,0
scen1,milk_an,SSB,carton,ghg,bev,0
scen1,milk_an,SSB,carton,h2o,bev,0
scen1,milk_an,SSB,bag_in_box,ghg,bev,0
scen1,milk_an,SSB,bag_in_box,h2o,bev,0
scen1,milk_other_plant,non_SSB,carton,ghg,bev,0
scen1,milk_other_plant,non_SSB,carton,h2o,bev,0
scen1,milk_other_plant,non_SSB,bag_in_box,ghg,bev,0
scen1,milk_other_plant,non_SSB,bag_in_box,h2o,bev,0
scen1,milk_other_plant,SSB,carton,ghg,bev,0
scen1,milk_other_plant,SSB,carton,h2o,bev,0
scen1,milk_other_plant,SSB,bag_in_box,ghg,bev,0
scen1,milk_other_plant,SSB,bag_in_box,h2o,bev,0
scen1,milk_soy,non_SSB,carton,ghg,bev,0
scen1,milk_soy,non_SSB,carton,h2o,bev,0
scen1,milk_soy,SSB,carton,ghg,bev,0
scen1,milk_soy,SSB,carton,h2o,bev,0
scen1,probiotic,non_SSB,plastic,ghg,bev,0
scen1,probiotic,non_SSB,plastic,h2o,bev,0
scen1,probiotic,SSB,glass,ghg,bev,0
scen1,probiotic,SSB,glass,h2o,bev,0
scen1,soda,non_SSB,alum_can,ghg,bev,0
scen1,soda,non_SSB,alum_can,h2o,bev,0
scen1,soda,non_SSB,glass,ghg,bev,0
scen1,soda,non_SSB,glass,h2o,bev,0
scen1,soda,non_SSB,plastic,ghg,bev,0
scen1,soda,non_SSB,plastic,h2o,bev,0
scen1,soda,non_SSB,bag_in_box,ghg,bev,0
scen1,soda,non_SSB,bag_in_box,h2o,bev,0
scen1,soda,SSB,alum_can,ghg,bev,0
scen1,soda,SSB,alum_can,h2o,bev,0
scen1,soda,SSB,glass,ghg,bev,0
scen1,soda,SSB,glass,h2o,bev,0
scen1,soda,SSB,plastic,ghg,bev,0
scen1,soda,SSB,plastic,h2o,bev,0
scen1,soda,SSB,carton,ghg,bev,0
scen1,soda,SSB,carton,h2o,bev,0
scen1,soda,SSB,bag_in_box,ghg,bev,0
scen1,soda,SSB,bag_in_box,h2o,bev,0
scen1,tea,non_SSB,alum_can,ghg,bev,0
scen1,tea,non_SSB,alum_can,h2o,bev,0
scen1,tea,non_SSB,glass,ghg,bev,0
scen1,tea,non_SSB,glass,h2o,bev,0
scen1,tea,non_SSB,plastic,ghg,bev,0
scen1,tea,non_SSB,plastic,h2o,bev,0
scen1,tea,non_SSB,bag_in_box,ghg,bev,0
scen1,tea,non_SSB,bag_in_box,h2o,bev,0
scen1,tea,SSB,alum_can,ghg,bev,0
scen1,tea,SSB,alum_can,h2o,bev,0
scen1,tea,SSB,glass,ghg,bev,0
scen1,tea,SSB,glass,h2o,bev,0
scen1,tea,SSB,plastic,ghg,bev,0
scen1,tea,SSB,plastic,h2o,bev,0
scen1,tea,SSB,bag_in_box,ghg,bev,0
scen1,tea,SSB,bag_in_box,h2o,bev,0
scen1,water_bottled,non_SSB,plastic,ghg,bev,0
scen1,water_bottled,non_SSB,plastic,h2o,bev,0
scen1,water_ucsb,non_SSB,steel_bott_reuse,ghg,bev,5845938.304861199
scen1,water_ucsb,non_SSB,steel_bott_reuse,h2o,bev,1881695.38
scen2_1,coffee,non_SSB,alum_can,ghg,bev,162598.16495033388
scen2_1,coffee,non_SSB,alum_can,h2o,bev,4228.62435548073
scen2_1,coffee,non_SSB,glass,ghg,bev,1156649.6737761355
scen2_1,coffee,non_SSB,glass,h2o,bev,30080.517715452632
scen2_1,coffee,non_SSB,plastic,ghg,bev,240653.9504655306
scen2_1,coffee,non_SSB,plastic,h2o,bev,6258.5894280666425
scen2_1,coffee,SSB,alum_can,ghg,bev,0
scen2_1,coffee,SSB,alum_can,h2o,bev,0
scen2_1,coffee,SSB,glass,ghg,bev,0
scen2_1,coffee,SSB,glass,h2o,bev,0
scen2_1,coffee,SSB,plastic,ghg,bev,0
scen2_1,coffee,SSB,plastic,h2o,bev,0
scen2_1,coffee_milk,non_SSB,alum_can,ghg,bev,43918.31188769275
scen2_1,coffee_milk,non_SSB,alum_can,h2o,bev,15306.388848305289
scen2_1,coffee_milk,non_SSB,glass,ghg,bev,1008752.2514064095
scen2_1,coffee_milk,non_SSB,glass,h2o,bev,351569.8474730487
scen2_1,coffee_milk,non_SSB,plastic,ghg,bev,171450.81808089785
scen2_1,coffee_milk,non_SSB,plastic,h2o,bev,59753.956313646035
scen2_1,coffee_milk,SSB,alum_can,ghg,bev,0
scen2_1,coffee_milk,SSB,alum_can,h2o,bev,0
scen2_1,coffee_milk,SSB,glass,ghg,bev,0
scen2_1,coffee_milk,SSB,glass,h2o,bev,0
scen2_1,coffee_milk,SSB,plastic,ghg,bev,0
scen2_1,coffee_milk,SSB,plastic,h2o,bev,0
scen2_1,juice,non_SSB,alum_can,ghg,bev,586805.078704265
scen2_1,juice,non_SSB,alum_can,h2o,bev,131121.77133689506
scen2_1,juice,non_SSB,glass,ghg,bev,1858919.4692904116
scen2_1,juice,non_SSB,glass,h2o,bev,415376.1145425276
scen2_1,juice,non_SSB,plastic,ghg,bev,106618272.03701265
scen2_1,juice,non_SSB,plastic,h2o,bev,23823884.955531552
scen2_1,juice,non_SSB,carton,ghg,bev,3170826.685762868
scen2_1,juice,non_SSB,carton,h2o,bev,708522.1766614233
scen2_1,juice,SSB,alum_can,ghg,bev,0
scen2_1,juice,SSB,alum_can,h2o,bev,0
scen2_1,juice,SSB,glass,ghg,bev,0
scen2_1,juice,SSB,glass,h2o,bev,0
scen2_1,juice,SSB,plastic,ghg,bev,0
scen2_1,juice,SSB,plastic,h2o,bev,0
scen2_1,juice,SSB,carton,ghg,bev,0
scen2_1,juice,SSB,carton,h2o,bev,0
scen2_1,juice,SSB,bag_in_box,ghg,bev,0
scen2_1,juice,SSB,bag_in_box,h2o,bev,0
scen2_1,milk_almond,non_SSB,carton,ghg,bev,464205.29533140006
scen2_1,milk_almond,non_SSB,carton,h2o,bev,187575.9470139
scen2_1,milk_almond,SSB,plastic,ghg,bev,0
scen2_1,milk_almond,SSB,plastic,h2o,bev,0
scen2_1,milk_almond,SSB,carton,ghg,bev,0
scen2_1,milk_almond,SSB,carton,h2o,bev,0
scen2_1,milk_an,non_SSB,plastic,ghg,bev,196403873.71948597
scen2_1,milk_an,non_SSB,plastic,h2o,bev,90246865.32736208
scen2_1,milk_an,non_SSB,carton,ghg,bev,5608693.909673636
scen2_1,milk_an,non_SSB,carton,h2o,bev,2577174.443369921
scen2_1,milk_an,SSB,plastic,ghg,bev,0
