scen,cont_type,bev_regex,Coffee,Coffee + milk,Juice,Soda,Tea,"Milk, animal",Plant milk,Almond milk,Soy milk,Probiotic,"Water, bottled","Water, Filtered tap"
scen2_3,plastic,"Milk*','*~animal",0,0,0,0,0,55.461431161179576,0,0,0,0,0,0
scen2_3,plastic,Probiotic,0,0,0,0,0,0,0,0,0,0.416703,0,0
scen2_3,plastic,Soda,0,0,0,18.664776036100577,0,0,0,0,0,0,0,0
scen2_3,plastic,Tea,0,0,0,0,5.1214934626007205,0,0,0,0,0,0,0
scen2_3,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,732.82087,0
scen2_3,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,alum_can,Coffee,0.13343582931954137,0,0,0,0,0,0,0,0,0,0,0
scen2_4,alum_can,Coffee~+ milk,0,0.018453799999999996,0,0,0,0,0,0,0,0,0,0
scen2_4,alum_can,Juice,0,0,0.21060811725361797,0,0,0,0,0,0,0,0,0
scen2_4,alum_can,Soda,0,0,0,23.161205409792366,0,0,0,0,0,0,0,0
scen2_4,alum_can,Tea,0,0,0,0,0.8999807637184596,0,0,0,0,0,0,0
scen2_4,bag_in_box,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,bag_in_box,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,bag_in_box,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,bag_in_box,Soda,0,0,0,35.79481117878347,0,0,0,0,0,0,0,0
scen2_4,bag_in_box,Tea,0,0,0,0,9.062289041608269,0,0,0,0,0,0,0
scen2_4,carton,Almond~milk,0,0,0,0,0,0,0,0.51103,0,0,0,0
scen2_4,carton,Juice,0,0,1.1380300932306726,0,0,0,0,0,0,0,0,0
scen2_4,carton,"Milk*','*~animal",0,0,0,0,0,1.5838088388204201,0,0,0,0,0,0
scen2_4,carton,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,carton,Soy~milk,0,0,0,0,0,0,0,0,10.527230000000001,0,0,0
scen2_4,glass,Coffee,0.9492020312753148,0,0,0,0,0,0,0,0,0,0,0
scen2_4,glass,Coffee~+ milk,0,0.42386219999999997,0,0,0,0,0,0,0,0,0,0
scen2_4,glass,Juice,0,0,0.6671781546571383,0,0,0,0,0,0,0,0,0
scen2_4,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,glass,Soda,0,0,0,2.8803573753235963,0,0,0,0,0,0,0,0
scen2_4,glass,Tea,0,0,0,0,1.8654367320725505,0,0,0,0,0,0,0
scen2_4,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_4,plastic,Coffee,0.19749213940514376,0,0,0,0,0,0,0,0,0,0,0
scen2_4,plastic,Coffee~+ milk,0,0.07204099999999998,0,0,0,0,0,0,0,0,0,0
scen2_4,plastic,Juice,0,0,38.26598363485857,0,0,0,0,0,0,0,0,0
scen2_4,plastic,"Milk*','*~animal",0,0,0,0,0,55.461431161179576,0,0,0,0,0,0
scen2_4,plastic,Probiotic,0,0,0,0,0,0,0,0,0,0.416703,0,0
scen2_4,plastic,Soda,0,0,0,18.664776036100577,0,0,0,0,0,0,0,0
scen2_4,plastic,Tea,0,0,0,0,5.1214934626007205,0,0,0,0,0,0,0
scen2_4,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,104.48889,0
scen2_4,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,628.3319799999999
scen3_1,alum_can,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,alum_can,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,alum_can,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,alum_can,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,alum_can,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,bag_in_box,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,bag_in_box,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,bag_in_box,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,bag_in_box,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,bag_in_box,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,carton,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,carton,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,carton,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,carton,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,carton,Soy~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,glass,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,glass,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,glass,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,glass,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,glass,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_1,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,940.84768999999994,0
scen3_1,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,alum_can,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,alum_can,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,alum_can,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,alum_can,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,alum_can,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,bag_in_box,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,bag_in_box,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,bag_in_box,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,bag_in_box,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,bag_in_box,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,carton,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,carton,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,carton,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,carton,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,carton,Soy~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,glass,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,glass,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,glass,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,glass,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,glass,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,Coffee,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,Coffee~+ milk,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,Tea,0,0,0,0,0,0,0,0,0,0,0,0
scen3_2,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,104.48889,0
scen3_2,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,836.3588000000001
scen4,alum_can,Coffee,0.14727622133046714,0,0,0,0,0,0,0,0,0,0,0
scen4,alum_can,Coffee~+ milk,0,4.55851280748631,0,0,0,0,0,0,0,0,0,0
scen4,alum_can,Juice,0,0,8.12234737907154,0,0,0,0,0,0,0,0,0
scen4,alum_can,Soda,0,0,0,43.9090049405157,0,0,0,0,0,0,0,0
scen4,alum_can,Tea,0,0,0,0,54.70655113407811,0,0,0,0,0,0,0
scen4,bag_in_box,Juice,0,0,63.89010532180827,0,0,0,0,0,0,0,0,0
scen4,bag_in_box,"Milk*','*~animal",0,0,0,0,0,22.41719096734107,0,0,0,0,0,0
scen4,bag_in_box,Plant~milk,0,0,0,0,0,0,5.178435939371117,0,0,0,0,0
scen4,bag_in_box,Soda,0,0,0,212.04331623977222,0,0,0,0,0,0,0,0
scen4,bag_in_box,Tea,0,0,0,0,10.175199078225562,0,0,0,0,0,0,0
scen4,carton,Almond~milk,0,0,0,0,0,0,0,61.33212641546936,0,0,0,0
scen4,carton,Juice,0,0,1.805157023739575,0,0,0,0,0,0,0,0,0
scen4,carton,"Milk*','*~animal",0,0,0,0,0,1.907549852790412,0,0,0,0,0,0
scen4,carton,Plant~milk,0,0,0,0,0,0,2.360674060628883,0,0,0,0,0
scen4,carton,Soda,0,0,0,0.0029238000043295626,0,0,0,0,0,0,0,0
scen4,carton,Soy~milk,0,0,0,0,0,0,0,0,42.19533,0,0,0
scen4,glass,Coffee,1.5892019618488606,0,0,0,0,0,0,0,0,0,0,0
scen4,glass,Coffee~+ milk,0,15.590333422831982,0,0,0,0,0,0,0,0,0,0
scen4,glass,Juice,0,0,5.653554082692987,0,0,0,0,0,0,0,0,0
scen4,glass,Probiotic,0,0,0,0,0,0,0,0,0,5.575360000000001,0,0
scen4,glass,Soda,0,0,0,4.1128854771487235,0,0,0,0,0,0,0,0
scen4,glass,Tea,0,0,0,0,35.76085684730966,0,0,0,0,0,0,0
scen4,plastic,Almond~milk,0,0,0,0,0,0,0,7.939773584530642,0,0,0,0
scen4,plastic,Coffee,0.23661781682067212,0,0,0,0,0,0,0,0,0,0,0
scen4,plastic,Coffee~+ milk,0,2.0946907696817054,0,0,0,0,0,0,0,0,0,0
scen4,plastic,Juice,0,0,50.463826192687634,0,0,0,0,0,0,0,0,0
scen4,plastic,"Milk*','*~animal",0,0,0,0,0,55.89452917986851,0,0,0,0,0,0
scen4,plastic,Probiotic,0,0,0,0,0,0,0,0,0,0.416703,0,0
scen4,plastic,Soda,0,0,0,90.55733954255906,0,0,0,0,0,0,0,0
scen4,plastic,Tea,0,0,0,0,25.721452940386666,0,0,0,0,0,0,0
scen4,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,0,0
scen4,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,104.48889
scen5_1,alum_can,Almond~milk,0,0,0,0,0,0,0,7.939773584530642,0,0,0,0
scen5_1,alum_can,Coffee,0.3838940381511393,0,0,0,0,0,0,0,0,0,0,0
scen5_1,alum_can,Coffee~+ milk,0,6.653203577168015,0,0,0,0,0,0,0,0,0,0
scen5_1,alum_can,Juice,0,0,58.58617357175916,0,0,0,0,0,0,0,0,0
scen5_1,alum_can,"Milk*','*~animal",0,0,0,0,0,55.89452917986851,0,0,0,0,0,0
scen5_1,alum_can,Probiotic,0,0,0,0,0,0,0,0,0,0.416703,0,0
scen5_1,alum_can,Soda,0,0,0,134.46634448307478,0,0,0,0,0,0,0,0
scen5_1,alum_can,Tea,0,0,0,0,80.42800407446478,0,0,0,0,0,0,0
scen5_1,alum_can,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,104.48889,0
scen5_1,bag_in_box,Juice,0,0,63.89010532180827,0,0,0,0,0,0,0,0,0
scen5_1,bag_in_box,"Milk*','*~animal",0,0,0,0,0,22.41719096734107,0,0,0,0,0,0
scen5_1,bag_in_box,Plant~milk,0,0,0,0,0,0,5.178435939371117,0,0,0,0,0
scen5_1,bag_in_box,Soda,0,0,0,212.04331623977222,0,0,0,0,0,0,0,0
scen5_1,bag_in_box,Tea,0,0,0,0,10.175199078225564,0,0,0,0,0,0,0
scen5_1,carton,Almond~milk,0,0,0,0,0,0,0,61.33212641546936,0,0,0,0
scen5_1,carton,Juice,0,0,1.805157023739575,0,0,0,0,0,0,0,0,0
scen5_1,carton,"Milk*','*~animal",0,0,0,0,0,1.907549852790412,0,0,0,0,0,0
scen5_1,carton,Plant~milk,0,0,0,0,0,0,2.360674060628883,0,0,0,0,0
scen5_1,carton,Soda,0,0,0,0.0029238000043295626,0,0,0,0,0,0,0,0
scen5_1,carton,Soy~milk,0,0,0,0,0,0,0,0,42.19533,0,0,0
scen5_1,glass,Coffee,1.5892019618488606,0,0,0,0,0,0,0,0,0,0,0
scen5_1,glass,Coffee~+ milk,0,15.590333422831982,0,0,0,0,0,0,0,0,0,0
scen5_1,glass,Juice,0,0,5.653554082692987,0,0,0,0,0,0,0,0,0
scen5_1,glass,Probiotic,0,0,0,0,0,0,0,0,0,5.575360000000001,0,0
