distrib,cont_size,liter_cont,liter_drink,sug_add,sug_other,sug_unspec,sug_tot,mix_r,cont_type,bev_type,SSB_status
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,5.6781,5.6781,0,0,59.17,59.17,0,plastic,soda,SSB
dining,0.473176791,210.0901,210.0901,88.76,12.68,0,101.44,0,glass,juice,SSB
dining,0.473176791,357.7210999999999,357.7210999999999,88.76,6.34,0,95.10000000000001,0,glass,juice,SSB
dining,0.473176791,266.87129999999996,266.87129999999996,103.56,2.11,0,105.67,0,glass,juice,SSB
dining,0.473176791,323.65240000000006,323.65240000000006,82.41999999999999,12.68,0,95.10000000000001,0,glass,juice,SSB
dining,0.473176791,357.7210999999999,357.7210999999999,84.54,0,0,84.54,0,glass,juice,SSB
dining,0.473176791,283.9056,283.9056,76.08,0,0,76.08,0,glass,juice,SSB
dining,0.473176791,272.54940000000005,272.54940000000005,76.08,0,0,76.08,0,glass,juice,SSB
dining,0.547110664,157.5676,157.5676,0,0,49.35,49.35,0,plastic,tea,SSB
dining,0.547110664,328.2659,328.2659,0,0,49.35,49.35,0,plastic,tea,SSB
dining,0.547110664,601.2734000000002,601.2734000000002,0,0,84.08,84.08,0,plastic,tea,SSB
dining,0.547110664,1534.1,1534.1,0,0,74.94000000000001,74.94000000000001,0,plastic,tea,SSB
dining,0.547110664,37.7506,37.7506,0,0,118.81,118.81,0,plastic,tea,SSB
dining,0.53232389,76.6545,76.6545,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,166.0848,166.0848,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,6.387899999999999,6.387899999999999,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,57.4909,57.4909,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,63.8788,63.8788,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,121.3696,121.3696,0,0,1.88,1.88,0,plastic,juice,SSB
dining,0.53232389,70.26660000000001,70.26660000000001,0,0,1.88,1.88,0,plastic,juice,SSB
dining,1,109.9953,109.9953,130,0,0,130,0,plastic,soda,SSB
dining,1,77.0054,77.0054,0,0,115.48,115.48,0,plastic,soda,SSB
dining,0.591470988,396.87629999999996,396.87629999999996,92.99000000000001,0,0,92.99000000000001,0,plastic,soda,SSB
dining,0.591470988,1902.1699999999998,1902.1699999999998,57.480000000000004,0,0,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,466.0793,466.0793,49.029999999999994,0,0,49.029999999999994,0,plastic,soda,SSB
dining,0.591470988,28.3906,28.3906,40.58,6.760000000000001,0,47.34,0,plastic,soda,SSB
dining,0.591470988,28.3906,28.3906,43.96,3.3800000000000003,0,47.34,0,plastic,soda,SSB
dining,0.591470988,269.1188,269.1188,120.03999999999999,0,0,120.03999999999999,0,plastic,soda,SSB
dining,0.591470988,42.5858,42.5858,0,0,125.11,125.11,0,plastic,soda,SSB
dining,0.591470988,850.7852,850.7852,0,0,0.83,0.83,0,plastic,soda,SSB
dining,0.591470988,1757.85,1757.85,57.480000000000004,0,0,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,99.367,99.367,57.480000000000004,0,0,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,1787.42,1787.42,0,0,57.480000000000004,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,141.95280000000002,141.95280000000002,0,0,20.29,20.29,0,plastic,soda,SSB
dining,0.591470988,637.0142,637.0142,57.480000000000004,0,0,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,253.74059999999997,253.74059999999997,0,0,57.480000000000004,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,1887.97,1887.97,0,0,23.67,23.67,0,plastic,soda,SSB
dining,0.591470988,893.7111,893.7111,0,0,57.480000000000004,57.480000000000004,0,plastic,soda,SSB
dining,0.591470988,794.9224999999999,794.9224999999999,49.029999999999994,0,0,49.029999999999994,0,plastic,tea,SSB
dining,0.591470988,594.7926,594.7926,49.029999999999994,0,0,49.029999999999994,0,plastic,tea,SSB
dining,0.591470988,85.17169999999999,85.17169999999999,0,0,123.42,123.42,0,plastic,soda,SSB
dining,0.591470988,31.905299999999997,31.905299999999997,120.03999999999999,0,0,120.03999999999999,0,plastic,soda,SSB
dining,0.591470988,2410.17,2410.17,116.66,0,0,116.66,0,plastic,soda,SSB
dining,0.591470988,655.2436,655.2436,118.35,0,0,118.35,0,plastic,soda,SSB
dining,0.591470988,108.2399,108.2399,69.32000000000001,0,0,69.32000000000001,0,plastic,soda,SSB
dining,0.591470988,52.047799999999995,52.047799999999995,47.34,0,0,47.34,0,plastic,soda,SSB
dining,0.591470988,241.3198,241.3198,116.66,0,0,116.66,0,alum_can,soda,SSB
dining,0.709765186,85.17169999999999,85.17169999999999,0,0,38.04,38.04,0,alum_can,soda,SSB
dining,0.709765186,119.24040000000001,119.24040000000001,0,0,53.54,53.54,0,alum_can,soda,SSB
dining,0.709765186,85.17169999999999,85.17169999999999,0,0,39.449999999999996,39.449999999999996,0,alum_can,soda,SSB
dining,0.828059384,745.2521999999999,745.2521999999999,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,60.4486,60.4486,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,19.0462,19.0462,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,86.1181,86.1181,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,186.3131,186.3131,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,74.5252,74.5252,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,608.6225999999999,608.6225999999999,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,604.4833000000001,604.4833000000001,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,1415.98,1415.98,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,931.5653,931.5653,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,571.3599999999999,571.3599999999999,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,484.41389999999996,484.41389999999996,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,149.05040000000002,149.05040000000002,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.828059384,124.2087,124.2087,57.97,0,0,57.97,0,plastic,soda,SSB
dining,0.375,197.9997,197.9997,106.67,0,0,106.67,0,glass,soda,SSB
dining,0.375,224.9996,224.9996,0,0,114.66999999999999,114.66999999999999,0,glass,soda,SSB
dining,0.375,53.999900000000004,53.999900000000004,13.33,0,0,13.33,0,glass,soda,SSB
dining,0.375,211.4996,211.4996,0,0,114.66999999999999,114.66999999999999,0,glass,soda,SSB
dining,0.375,161.9997,161.9997,0,0,114.66999999999999,114.66999999999999,0,glass,soda,SSB
dining,0.375,83.99960000000002,83.99960000000002,0,0,125.33,125.33,0,glass,soda,SSB
dining,11.35624298,68.1373,408.8238,0,0,0,0,5,bag_in_box,soda,non_SSB
dining,11.35624298,68.1373,408.8238,0,0,0,0,5,bag_in_box,soda,non_SSB
dining,11.35624298,68.1373,408.8238,0,0,0,0,5,bag_in_box,soda,non_SSB
dining,0.192228071,434.6272,434.6272,57.22,36.42,0,93.64,0,glass,coffee_milk,SSB
dining,0.236588395,68.1373,68.1373,42.27,0,0,42.27,0,alum_can,coffee_milk,SSB
dining,0.236588395,42.5858,42.5858,59.17,0,0,59.17,0,alum_can,coffee_milk,SSB
dining,0.236588395,51.103,51.103,59.17,0,0,59.17,0,alum_can,coffee_milk,SSB
dining,0.236588395,39.7468,39.7468,59.17,0,0,59.17,0,alum_can,coffee_milk,SSB
dining,0.280948719,247.7208,247.7208,81.87,35.589999999999996,0,117.46,0,glass,coffee_milk,SSB
dining,0.280948719,440.7554,440.7554,78.31,35.589999999999996,0,113.9,0,glass,coffee_milk,SSB
dining,0.280948719,129.1018,129.1018,7.119999999999999,32.03,0,39.15,0,glass,coffee_milk,SSB
dining,0.280948719,28.9381,28.9381,0,0,39.15,39.15,0,glass,coffee_milk,SSB
dining,0.280948719,462.15090000000004,462.15090000000004,78.31,35.589999999999996,0,113.9,0,glass,coffee_milk,SSB
dining,0.499792985,533.7780000000001,533.7780000000001,60.019999999999996,12,0,72.03,0,plastic,juice,SSB
dining,0.499792985,311.8703,311.8703,52.019999999999996,12,0,64.03,0,plastic,juice,SSB
dining,0.499792985,185.92270000000002,185.92270000000002,60.019999999999996,0,0,60.019999999999996,0,plastic,juice,SSB
dining,0.499792985,227.9052,227.9052,28.01,0,0,28.01,0,plastic,juice,SSB
dining,0.499792985,599.7506,599.7506,60.019999999999996,8,0,68.02999999999999,0,plastic,juice,SSB
dining,0.499792985,179.92520000000002,179.92520000000002,48.02,12,0,60.019999999999996,0,plastic,juice,SSB
dining,0.499792985,35.985,35.985,0,0,75.00999999999999,75.00999999999999,0,plastic,juice,SSB
dining,0.499792985,1445.4,1445.4,28.01,0,0,28.01,0,plastic,juice,SSB
dining,0.499792985,155.9352,155.9352,48.02,8,0,56.02,0,plastic,juice,SSB
dining,0.243981783,206.40820000000002,206.40820000000002,57.38,4.1000000000000005,0,61.48,0,carton,milk_soy,SSB
dining,0.243981783,35.133300000000006,35.133300000000006,57.38,4.1000000000000005,0,61.48,0,carton,milk_soy,SSB
dining,0.946353581,3145.67,3145.67,20.82,4.159999999999999,0,24.98,0,carton,milk_soy,SSB
dining,0.946353581,601.8799,601.8799,20.82,4.23,0,25.04,0,carton,milk_soy,SSB
dining,0.243981783,153.7083,153.7083,32.79,4.1000000000000005,0,36.89,0,carton,milk_soy,SSB
dining,0.243981783,52.7,52.7,32.79,4.1000000000000005,0,36.89,0,carton,milk_soy,SSB
dining,0.458390016,9549.16,9549.16,0,0,61.080000000000005,61.080000000000005,0,alum_can,tea,SSB
dining,0.458390016,7876.96,7876.96,0,0,61.080000000000005,61.080000000000005,0,alum_can,tea,SSB
dining,0.458390016,4521.55,4521.55,0,0,56.72,56.72,0,alum_can,tea,SSB
dining,0.458390016,4362.03,4362.03,0,0,61.080000000000005,61.080000000000005,0,alum_can,tea,SSB
dining,0.458390016,10561.29,10561.29,0,0,61.080000000000005,61.080000000000005,0,alum_can,tea,SSB
dining,0.473176791,3730.52,3730.52,0,0,42.27,42.27,0,glass,tea,SSB
dining,0.473176791,6047.1900000000005,6047.1900000000005,0,0,59.17,59.17,0,glass,tea,SSB
dining,0.473176791,6404.91,6404.91,0,0,38.04,38.04,0,glass,tea,SSB
dining,0.473176791,2055.48,2055.48,0,0,54.949999999999996,54.949999999999996,0,glass,tea,SSB
dining,0.473176791,5723.54,5723.54,0,0,50.72,50.72,0,glass,tea,SSB
dining,0.473176791,1533.09,1533.09,0,0,42.27,42.27,0,glass,tea,SSB
dining,0.473176791,1845.3899999999999,1845.3899999999999,0,2.11,0,2.11,0,glass,tea,SSB
dining,0.473176791,2208.79,2208.79,0,2.11,0,2.11,0,glass,tea,SSB
dining,0.236588395,62.459199999999996,62.459199999999996,50.72,16.91,0,67.63,0,plastic,milk_almond,SSB
dining,0.236588395,1.4194999999999998,1.4194999999999998,50.72,16.91,0,67.63,0,plastic,milk_almond,SSB
dining,0.236588395,52.99570000000001,52.99570000000001,59.17,8.45,0,67.63,0,plastic,milk_almond,SSB
dining,0.236588395,60.566500000000005,60.566500000000005,59.17,8.45,0,67.63,0,plastic,milk_almond,SSB
dining,0.310522269,32.29430000000001,32.29430000000001,0,0,54.75,54.75,0,plastic,milk_almond,SSB
dining,0.310522269,47.19930000000001,47.19930000000001,28.98,3.22,0,32.2,0,plastic,milk_almond,SSB
dining,0.310522269,2.4842,2.4842,0,0,41.86,41.86,0,plastic,milk_almond,SSB
dining,0.310522269,14.905000000000001,14.905000000000001,0,0,32.2,32.2,0,plastic,milk_almond,SSB
dining,0.310522269,419.8254,419.8254,32.2,0,0,32.2,0,plastic,coffee_milk,SSB
dining,0.236588395,31.229599999999998,31.229599999999998,0,0,59.17,59.17,0,alum_can,coffee_milk,SSB
dining,0.354882593,1430.54,1430.54,109.89999999999999,0,0,109.89999999999999,0,alum_can,soda,SSB
dining,0.354882593,451.4099,451.4099,109.89999999999999,0,0,109.89999999999999,0,alum_can,soda,SSB
dining,11.35624298,34.06870000000001,204.41220000000004,355.04999999999995,0,0,355.04999999999995,5,bag_in_box,soda,SSB
dining,0.473176791,181.69959999999998,181.69959999999998,0,0,92.99000000000001,92.99000000000001,0,glass,juice,SSB
dining,0.473176791,11.356200000000001,11.356200000000001,0,0,92.99000000000001,92.99000000000001,0,glass,juice,SSB
dining,0.405157627,91.6493,91.6493,0,0,116,116,0,glass,coffee_milk,SSB
dining,0.405157627,57.6706,57.6706,0,0,113.54,113.54,0,glass,coffee_milk,SSB
dining,0.946353581,7665.45,7665.45,21.13,0,0,21.13,0,plastic,milk_almond,SSB
dining,0.310522269,39.12570000000001,39.12570000000001,0,0,25.76,25.76,0,plastic,coffee,SSB
dining,0.310522269,33.536300000000004,33.536300000000004,35.42,3.22,0,38.64,0,plastic,coffee_milk,SSB
dining,1.419530372,264.0322,264.0322,33.81,0,0,33.81,0,plastic,coffee_milk,SSB
dining,1.419530372,306.618,306.618,42.27,2.82,0,45.089999999999996,0,plastic,coffee_milk,SSB
dining,0.828059384,115.1001,115.1001,0,0,63.4,63.4,0,plastic,soda,SSB
dining,0.591470988,99.367,99.367,0,0,57.480000000000004,57.480000000000004,0,plastic,soda,SSB
dining,0.828059384,73.698,73.698,0,0,63.4,63.4,0,plastic,soda,SSB
dining,0.059147099,23.422199999999997,23.422199999999997,0,0,135.26,135.26,0,plastic,soda,SSB
dining,0.059147099,4.2586,4.2586,0,0,101.44,101.44,0,plastic,soda,SSB
dining,0.473176791,124.91850000000001,124.91850000000001,0,0,82.41999999999999,82.41999999999999,0,alum_can,soda,SSB
dining,0.473176791,124.91850000000001,124.91850000000001,0,0,82.41999999999999,82.41999999999999,0,alum_can,soda,SSB
dining,0.473176791,124.91850000000001,124.91850000000001,0,0,65.51,65.51,0,alum_can,soda,SSB
dining,0.473176791,147.6309,147.6309,0,0,84.54,84.54,0,alum_can,soda,SSB
dining,0.236588395,62.459199999999996,62.459199999999996,0,0,42.27,42.27,0,alum_can,coffee_milk,SSB
dining,0.236588395,19.8734,19.8734,0,0,59.17,59.17,0,alum_can,coffee_milk,SSB
dining,0.236588395,22.7124,22.7124,0,0,59.17,59.17,0,alum_can,coffee_milk,SSB
dining,0.473176791,124.91850000000001,124.91850000000001,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,85.17169999999999,85.17169999999999,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,51.103,51.103,4.23,0,0,4.23,0,glass,juice,SSB
dining,0.473176791,215.7683,215.7683,63.4,0,0,63.4,0,glass,juice,SSB
dining,0.473176791,62.459199999999996,62.459199999999996,59.17,0,0,59.17,0,glass,juice,SSB
dining,0.473176791,136.27469999999997,136.27469999999997,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,244.1588,244.1588,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,227.12449999999998,227.12449999999998,54.949999999999996,0,0,54.949999999999996,0,glass,juice,SSB
dining,0.473176791,62.459199999999996,62.459199999999996,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,22.7124,22.7124,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,17.034300000000002,17.034300000000002,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,68.1373,68.1373,63.4,0,0,63.4,0,glass,juice,SSB
dining,0.473176791,39.7468,39.7468,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,45.4249,45.4249,54.949999999999996,4.23,0,59.17,0,glass,juice,SSB
dining,0.473176791,107.8841,107.8841,54.949999999999996,0,0,54.949999999999996,0,glass,juice,SSB
dining,0.354882593,340.6867,340.6867,0,0,152.16,152.16,0,carton,juice,SSB
dining,0.310522269,414.8571,414.8571,0,0,38.64,38.64,0,plastic,coffee_milk,SSB
dining,0.310522269,300.58509999999995,300.58509999999995,0,0,38.64,38.64,0,plastic,coffee_milk,SSB
dining,0.310522269,273.2591,273.2591,0,0,41.86,41.86,0,plastic,coffee_milk,SSB
dining,0.162654522,7.8073999999999995,7.8073999999999995,0,0,116.81,116.81,0,glass,juice,SSB
dining,11.35624298,181.69959999999998,1090.1976,574.84,0,0,574.84,5,bag_in_box,soda,SSB
dining,0.199621459,140.5333,140.5333,0,0,45.089999999999996,45.089999999999996,0,carton,juice,SSB
dining,11.35624298,272.54940000000005,1635.2964000000002,0,0,0,0,5,bag_in_box,soda,non_SSB
dining,11.35624298,158.98710000000003,953.9226000000001,659.37,0,0,659.37,5,bag_in_box,soda,SSB
dining,0.199621459,146.92110000000002,146.92110000000002,0,0,45.089999999999996,45.089999999999996,0,carton,juice,SSB
dining,0.473176791,193.0558,193.0558,63.4,0,0,63.4,0,plastic,juice,SSB
dining,0.473176791,124.91850000000001,124.91850000000001,135.26,2.11,0,137.37,0,plastic,juice,SSB
dining,11.35624298,863.0730000000001,5178.438,490.3,0,0,490.3,5,bag_in_box,milk_other_plant,SSB
dining,0.473176791,5.6781,5.6781,0,0,118.35,118.35,0,glass,juice,SSB
dining,0.473176791,11.356200000000001,11.356200000000001,0,0,118.35,118.35,0,glass,juice,SSB
dining,0.473176791,5.6781,5.6781,0,0,38.04,38.04,0,glass,juice,SSB
